Time, Magnetic field(µT), Magnetic field(µT), Magnetic field(µT)
0, 0.06103515625, 0.06103515625, -0.30517578125
0.02, 0.06103515625, -0.030517578125, -0.1220703125
0.08, 0.152587890625, 0.091552734375, -0.335693359375
0.16, 0.030517578125, 0.1220703125, 0.06103515625
0.26, 0.0, 0.030517578125, -0.030517578125
0.36, 0.0, 0.0, -0.396728515625
0.46, -0.030517578125, 0.0, -0.18310546875
0.58, -0.06103515625, -0.030517578125, -0.030517578125
0.69, -0.030517578125, 0.1220703125, -0.244140625
0.78, 0.1220703125, 0.06103515625, -0.274658203125
0.87, 0.091552734375, 0.06103515625, -0.457763671875
0.97, -0.1220703125, 0.030517578125, -0.152587890625
1.06, 0.152587890625, 0.091552734375, 0.0
1.19, 0.030517578125, 0.06103515625, -0.335693359375
1.3, 0.091552734375, 0.091552734375, -0.030517578125
1.38, 0.18310546875, 0.091552734375, 0.1220703125
1.47, 0.091552734375, -0.030517578125, -0.1220703125
1.56, 0.091552734375, 0.030517578125, 0.030517578125
1.69, 0.0, 0.0, -0.213623046875
1.78, 0.0, -0.06103515625, -0.244140625
1.81, 0.06103515625, 0.06103515625, -0.335693359375
1.92, 0.0, 0.1220703125, -0.396728515625
2.02, -0.06103515625, 0.06103515625, 0.244140625
2.14, 0.1220703125, 0.091552734375, 0.091552734375
2.22, 0.091552734375, 0.152587890625, -0.30517578125
2.35, 0.06103515625, 0.1220703125, -0.152587890625
2.42, 0.091552734375, 0.1220703125, 0.1220703125
2.52, 0.0, 0.030517578125, 0.030517578125
2.62, -0.1220703125, 0.06103515625, 0.030517578125
2.74, -0.030517578125, -0.06103515625, 0.06103515625
2.86, 0.06103515625, 0.0, 0.0
2.97, -0.06103515625, 0.030517578125, 0.091552734375
3.05, 0.030517578125, 0.030517578125, 0.18310546875
3.18, 0.091552734375, 0.0, -0.274658203125
3.21, 0.06103515625, 0.213623046875, -0.152587890625
3.34, 0.213623046875, 0.0, -0.1220703125
3.44, 0.152587890625, -0.152587890625, 0.091552734375
3.58, 0.1220703125, 0.0, -0.06103515625
3.69, 0.0, 0.18310546875, -0.152587890625
3.72, 0.030517578125, 0.152587890625, 0.0
3.82, 0.0, 0.0, -0.18310546875
3.98, 0.1220703125, 0.06103515625, -0.1220703125
4.02, 0.091552734375, 0.0, -0.06103515625
4.09, 0.091552734375, -0.06103515625, -0.1220703125
4.16, 0.030517578125, -0.091552734375, -0.213623046875
4.27, -0.030517578125, 0.06103515625, -0.244140625
4.39, -0.030517578125, 0.091552734375, -0.1220703125
4.52, 0.06103515625, 0.0, -0.213623046875
4.58, 0.0, 0.030517578125, 0.18310546875
4.71, 0.091552734375, 0.18310546875, -0.244140625
4.89, 0.18310546875, 0.030517578125, -0.06103515625
4.93, 0.0, 0.06103515625, -0.06103515625
4.96, -0.030517578125, 0.030517578125, 0.091552734375
5.09, 0.091552734375, -0.06103515625, 0.0
5.22, 0.1220703125, -0.091552734375, 0.030517578125
5.36, 0.0, -0.030517578125, -0.396728515625
5.41, -0.06103515625, 0.1220703125, -0.274658203125
5.52, 0.06103515625, -0.091552734375, -0.1220703125
5.57, -0.1220703125, -0.030517578125, -0.396728515625
5.68, -0.030517578125, -0.091552734375, 0.0
5.77, 0.0, -0.030517578125, -0.3662109375
5.86, -0.06103515625, 0.030517578125, 0.0
6.03, 0.0, 0.06103515625, -0.091552734375
6.08, -0.030517578125, 0.030517578125, -0.152587890625
6.17, -0.091552734375, 0.091552734375, 0.244140625
6.3, 0.152587890625, 0.091552734375, -0.213623046875
6.39, -0.030517578125, 0.0, -0.30517578125
6.44, -0.030517578125, 0.1220703125, -0.396728515625
6.56, 0.06103515625, 0.091552734375, -0.274658203125
6.78, 0.0, 0.152587890625, 0.18310546875
